LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(pixel/sec),(pixel),(sec),(pixel),(pixel),(pixel),
ID1179891 ? ID1179927,1177,1179891,1179927,6.91463169353714E-5,0.43326277090918064,0.008315426443386497,0.008315426443386497,689.5,22.247079383867934,18.6520311276241,0.0,
ID1180756 ? ID1180789,1177,1180756,1180789,0.044307697911444836,0.5861425634170462,0.21049393794464685,0.21049393794464685,720.5,22.357416805221394,18.579060574445112,0.0,
ID1180554 ? ID1180581,1177,1180554,1180581,0.013358656827004062,0.6400249377859553,0.11557965576607357,0.11557965576607357,713.5,22.252854194592544,18.558003626508516,0.0,
ID1180514 ? ID1180554,1177,1180514,1180554,0.009488043110628657,2.759622999864085,0.09740658658750267,0.09740658658750267,712.5,22.335752806219773,18.615921641760323,0.0,
ID1180611 ? ID1180642,1177,1180611,1180642,0.0010655924540258611,0.07513126420813487,0.03264341363929118,0.03264341363929118,715.5,22.376826599709524,18.71178531633727,0.0,
ID1180089 ? ID1180117,1177,1180089,1180117,0.004082793258008984,3.114502572108184,0.0638967390248437,0.0638967390248437,696.5,22.32104404985366,18.694303059384964,0.0,
ID1180920 ? ID1180961,1177,1180920,1180961,0.02993079228097906,2.621101934588628,0.1730051799252816,0.1730051799252816,725.5,22.36255015567052,18.692227224838014,0.0,
ID1180726 ? ID1180756,1177,1180726,1180756,0.057134039578761,2.80807793117891,0.23902727789681452,0.23902727789681452,719.5,22.351784098955903,18.794203387250835,0.0,
ID1179863 ? ID1179891,1177,1179863,1179891,0.003650252887181219,0.09536983182395345,0.060417322740926045,0.060417322740926045,688.5,22.280750971398554,18.64712588547383,0.0,
ID1180067 ? ID1180089,1177,1180067,1180089,0.02385348677406753,1.5706382052369132,0.15444574055009588,0.15444574055009588,695.5,22.36260387791956,18.67629274096835,0.0,
ID1180171 ? ID1180196,1177,1180171,1180196,0.020433215131378715,1.9850747869858447,0.14294479749672148,0.14294479749672148,699.5,22.307180980040734,18.605511030765914,0.0,
ID1181246 ? ID1181281,1177,1181246,1181281,0.011531587263111931,0.7123881011833233,0.1073852283282572,0.1073852283282572,733.5,22.327543432326785,18.693634500382423,0.0,
ID1179927 ? ID1179954,1177,1179927,1179954,0.002964653698057756,2.642023414000941,0.05444863357383504,0.05444863357383504,690.5,22.269331381209433,18.643994762686273,0.0,
ID1180699 ? ID1180726,1177,1180699,1180726,0.13442527339462468,3.0901887886812847,0.36664052339399783,0.36664052339399783,718.5,22.396795162512888,18.727421675846685,0.0,
ID1179839 ? ID1179863,1177,1179839,1179863,0.06989644676227467,3.129807677811661,0.26437936145295965,0.26437936145295965,687.5,22.437000045670704,18.603272089874906,0.0,
ID1180117 ? ID1180148,1177,1180117,1180148,0.007329621580153119,0.3130969496274587,0.08561320914527804,0.08561320914527804,697.5,22.380524474379317,18.650514803660265,0.0,
ID1180410 ? ID1180435,1177,1180410,1180435,0.018687921043824125,3.048147212158315,0.13670377113973164,0.13670377113973164,708.5,22.408964850103615,18.631412751407225,0.0,
ID1181345 ? ID1181383,1177,1181345,1181383,0.018535055641602207,0.5582774917260456,0.13614351119903662,0.13614351119903662,736.5,22.346217447087255,18.723514352372902,0.0,
ID1180271 ? ID1180293,1177,1180271,1180293,0.03473987257612293,2.3523556973850424,0.18638635297715048,0.18638635297715048,703.5,22.40640223602879,18.634187672049055,0.0,
ID1181131 ? ID1181165,1177,1181131,1181165,0.022066232841270544,2.2195502373640115,0.14854707281286475,0.14854707281286475,730.5,22.282433856305964,18.607075754972136,0.0,
ID1181310 ? ID1181345,1177,1181310,1181345,0.001077976353292333,2.439548201960214,0.03283255021000246,0.03283255021000246,735.5,22.281828500752276,18.672007528504455,0.0,
ID1179821 ? ID1179839,1177,1179821,1179839,0.06507057815637193,2.9846419931017762,0.255089353279144,0.255089353279144,686.5,22.44188953116937,18.603375007626582,0.0,
ID1180148 ? ID1180171,1177,1180148,1180171,0.012365540248138202,1.5569660025307301,0.11120045075510351,0.11120045075510351,698.5,22.37323108594756,18.58025508006382,0.0,
ID1180581 ? ID1180611,1177,1180581,1180611,0.05371561654278542,2.6991964660195804,0.23176629725390493,0.23176629725390493,714.5,22.28192126873063,18.619804717745883,0.0,
