LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(pixel),(pixel),(pixel),(pixel),(pixel/sec),(pixel/sec),(pixel/sec),(pixel/sec),(pixel/sec),(quality),(pixel),(pixel),,(pixel/sec),,(rad/sec)
Track_8,8,8,4,0,0,0,0,0,0.15000000000000002,0.0,0.15000000000000002,0.24990078214058928,70.23680251041314,15.292645640806489,0.0,2.229984128499358,4.403224531376006,1.0877418748644943,1.1989859792575739,1.8829031305970434,128.2502613067627,0.33449761927490373,0.24990078214058928,0.7470928572893987,1.666005214270595,0.7470928572893988,22.873947056066697
Track_9,9,9,2,0,0,0,0,0,0.05,0.05,0.1,0.048222473342676944,50.52572818391369,41.12799029535054,0.0,0.9644494668535388,0.9644494668535388,0.9644494668535388,0.9644494668535388,NaN,106.41865539550781,0.048222473342676944,0.048222473342676944,1.0,0.9644494668535388,1.0,NaN
Track_10,10,10,3,0,0,0,0,0,0.1,0.0,0.1,0.029487799914242736,54.56518842519481,43.3419285276569,0.0,14.377888587213778,14.616894330891972,14.138882843535587,14.616894330891972,0.33800516419476745,130.35435231526694,1.4377888587213778,0.7308447165445986,0.020509130902896387,0.29487799914242735,0.020509130902896387,62.35128292635546
Track_11,11,11,6,1,0,0,0,1,0.30000000000000004,0.0,0.30000000000000004,1.0540809999214276,71.65681100267157,1.832152651064258,0.0,4.877334722879133,19.435253618393855,0.5833714008872547,1.6515217458023506,8.157422577330992,124.67978541056316,1.2591965873689364,1.0540809999214276,0.8371059852726465,3.5136033330714245,0.720394135877005,16.943181739824897
Track_12,12,12,3,0,0,0,0,0,0.1,0.0,0.1,0.06352856867143018,70.03124312588432,26.785178301700842,0.0,2.5590013719265476,2.910672605185277,2.2073301386678184,2.910672605185277,0.49733822757096724,133.10692850748697,0.2559001371926548,0.14553363025926386,0.24825531306223023,0.6352856867143017,0.24825531306223023,54.42084381619738
Track_13,13,13,6,1,0,0,0,2,0.35000000000000003,0.0,0.35000000000000003,0.046336443878844516,72.41825172967307,24.473866329226087,0.0,0.7933792223792004,1.4563717950106974,0.043087074930019634,0.8239285003505767,0.5235884545247786,137.90554173787436,0.2026535130878021,0.12424300378661862,0.22864860901162215,0.13238983965384146,0.1668682969246766,17.300826758354507
Track_14,14,14,3,0,0,0,0,0,0.1,0.0,0.1,0.07957767011978974,48.87228703094012,13.607647694073924,0.0,0.7978257965296747,1.2929455280113085,0.3027060650480408,1.2929455280113085,0.7002050392598517,137.53379821777344,0.07978257965296748,0.07957767011978974,0.9974316506928074,0.7957767011978973,0.9974316506928075,3.658778909820015
Track_15,15,15,3,0,0,0,0,0,0.1,0.0,0.1,0.026334419432739883,49.42535211905408,53.54194349198149,0.0,1.4353482500554795,1.683438564742007,1.187257935368952,1.683438564742007,0.35085268772309613,129.3520711263021,0.14353482500554796,0.05936289676844761,0.18347059281064368,0.2633441943273988,0.18347059281064365,60.33117998661149
Track_16,16,16,6,1,0,0,0,1,0.30000000000000004,0.05,0.35000000000000003,0.15214740320610967,23.446594714133624,16.399014507023235,0.0,1.9160788520915284,3.2923278585606894,0.6297890520565917,1.9472948279351254,1.0209724620117404,119.55312983194987,0.54412163286201,0.15214740320610967,0.2796202062502714,0.5071580106870321,0.2646853547459361,41.163803094665695
Track_17,17,17,5,0,0,0,0,0,0.2,0.05,0.25,0.05113675322463735,40.3272949133525,50.522656151736435,0.0,1.2185913269357738,2.106463106754922,0.45922864073558517,1.764794754124451,0.8403418265205417,138.17810821533203,0.24371826538715474,0.10532315533774611,0.20981912514191287,0.2556837661231867,0.2098191251419128,52.49138660779017
